Origin,Bulk,RepBin,Trmt,TOD,Dead
Cross2,1,3,Heat,62,1
Cross2,1,3,Heat,72,1
Cross2,1,3,Heat,141,1
Cross2,1,3,Heat,141,0
Cross2,1,3,Heat,141,0
Cross2,1,3,Heat,141,0
Cross2,1,3,Heat,141,0
Cross2,1,3,Heat,141,0
Cross2,1,3,Heat,141,0
Cross2,1,3,Heat,40,1
Cross2,1,3,Heat,40,1
Cross2,1,3,Heat,97,1
Cross2,1,3,Heat,141,1
Cross2,1,3,Heat,141,0
Cross2,1,3,Heat,141,0
Cross2,1,3,Heat,141,0
Cross2,1,3,Heat,141,0
Cross2,1,3,Heat,141,0
Cross2,1,3,Heat,141,0
Cross2,1,3,Heat,40,1
Cross2,1,3,Heat,40,1
Cross2,1,3,Heat,72,1
Cross2,1,3,Heat,141,1
Cross2,1,3,Heat,141,1
Cross2,1,3,Heat,141,1
Cross2,1,3,Heat,141,0
Cross2,1,3,Heat,141,0
Cross2,1,3,Heat,141,0
Cross2,1,3,Heat,141,0
Cross2,1,4,Heat,40,1
Cross2,1,4,Heat,40,1
Cross2,1,4,Heat,62,1
Cross2,1,4,Heat,97,1
Cross2,1,4,Heat,135,1
Cross2,1,4,Heat,135,1
Cross2,1,4,Heat,141,1
Cross2,1,4,Heat,141,0
Cross2,1,4,Heat,141,0
Cross2,1,4,Heat,141,0
Cross2,1,4,Heat,40,1
Cross2,1,4,Heat,40,1
Cross2,1,4,Heat,62,1
Cross2,1,4,Heat,62,1
Cross2,1,4,Heat,72,1
Cross2,1,4,Heat,109,1
Cross2,1,4,Heat,109,1
Cross2,1,4,Heat,109,1
Cross2,1,4,Heat,141,0
Cross2,1,4,Heat,141,0
Cross2,1,4,Heat,62,1
Cross2,1,4,Heat,72,1
Cross2,1,4,Heat,72,1
Cross2,1,4,Heat,119,1
Cross2,1,4,Heat,135,1
Cross2,1,4,Heat,141,1
Cross2,1,4,Heat,141,0
Cross2,1,4,Heat,141,0
Cross2,1,4,Heat,141,0
Cross2,1,4,Heat,141,0
