Origin,Bulk,Rep,Trmt,TOD,Dead
Offshore,2,26,Control,96,0
Offshore,2,27,Control,96,1
Offshore,2,27,Control,96,0
Offshore,2,27,Control,96,0
Offshore,2,27,Control,96,0
Offshore,2,27,Control,96,0
Offshore,2,27,Control,96,0
Offshore,2,27,Control,96,0
Offshore,2,27,Control,96,0
Offshore,2,27,Control,96,0
Offshore,2,27,Control,96,0
Offshore,2,28,Control,24,1
Offshore,2,28,Control,96,0
Offshore,2,28,Control,96,0
Offshore,2,28,Control,96,0
Offshore,2,28,Control,96,0
Offshore,2,28,Control,96,0
Offshore,2,28,Control,96,0
Offshore,2,28,Control,96,0
Offshore,2,28,Control,96,0
Offshore,2,28,Control,96,0
Offshore,2,29,Control,96,0
Offshore,2,29,Control,96,0
Offshore,2,29,Control,96,0
Offshore,2,29,Control,96,0
Offshore,2,29,Control,96,0
Offshore,2,29,Control,96,0
Offshore,2,29,Control,96,0
Offshore,2,29,Control,96,0
Offshore,2,29,Control,96,0
Offshore,2,29,Control,96,0
Offshore,2,30,Control,24,1
Offshore,2,30,Control,96,0
Offshore,2,30,Control,96,0
Offshore,2,30,Control,96,0
Offshore,2,30,Control,96,0
Offshore,2,30,Control,96,0
Offshore,2,30,Control,96,0
Offshore,2,30,Control,96,0
Offshore,2,30,Control,96,0
Offshore,2,30,Control,96,0
Offshore,3,31,Control,96,1
Offshore,3,31,Control,96,1
Offshore,3,31,Control,96,1
Offshore,3,31,Control,96,1
Offshore,3,31,Control,96,1
Offshore,3,31,Control,96,1
Offshore,3,31,Control,96,1
Offshore,3,31,Control,96,1
Offshore,3,31,Control,96,0
Offshore,3,31,Control,96,0
Offshore,3,32,Control,96,1
Offshore,3,32,Control,96,1
Offshore,3,32,Control,96,1
Offshore,3,32,Control,96,1
Offshore,3,32,Control,96,1
Offshore,3,32,Control,96,1
Offshore,3,32,Control,96,0
Offshore,3,32,Control,96,0
Offshore,3,32,Control,96,0
Offshore,3,32,Control,96,0
Offshore,3,33,Control,96,0
Offshore,3,33,Control,96,0
Offshore,3,33,Control,96,0
Offshore,3,33,Control,96,0
Offshore,3,33,Control,96,0
Offshore,3,33,Control,96,0
Offshore,3,33,Control,96,0
Offshore,3,33,Control,96,0
Offshore,3,33,Control,96,0
Offshore,3,33,Control,96,0
Offshore,3,34,Control,48,1
Offshore,3,34,Control,96,0
Offshore,3,34,Control,96,0
Offshore,3,34,Control,96,0
Offshore,3,34,Control,96,0
Offshore,3,34,Control,96,0
Offshore,3,34,Control,96,0
Offshore,3,34,Control,96,0
Offshore,3,34,Control,96,0
Offshore,3,34,Control,96,0
Offshore,3,35,Control,24,1
Offshore,3,35,Control,96,0
Offshore,3,35,Control,96,0
Offshore,3,35,Control,96,0
Offshore,3,35,Control,96,0
Offshore,3,35,Control,96,0
Offshore,3,35,Control,96,0
Offshore,3,35,Control,96,0
Offshore,3,35,Control,96,0
Offshore,3,35,Control,96,0
Offshore,3,36,Control,96,0
Offshore,3,36,Control,96,0
Offshore,3,36,Control,96,0
Offshore,3,36,Control,96,0
Offshore,3,36,Control,96,0
Offshore,3,36,Control,96,0
Offshore,3,36,Control,96,0
Offshore,3,36,Control,96,0
Offshore,3,36,Control,96,0
Offshore,3,36,Control,96,0
Cross,1,37,Control,96,1
Cross,1,37,Control,96,1
Cross,1,37,Control,96,1
Cross,1,37,Control,96,1
Cross,1,37,Control,96,0
Cross,1,37,Control,96,0
Cross,1,37,Control,96,0
Cross,1,37,Control,96,0
Cross,1,37,Control,96,0
Cross,1,37,Control,96,0
Cross,1,38,Control,96,0
Cross,1,38,Control,96,0
Cross,1,38,Control,96,0
Cross,1,38,Control,96,0
Cross,1,38,Control,96,0
Cross,1,38,Control,96,0
Cross,1,38,Control,96,0
Cross,1,38,Control,96,0
Cross,1,38,Control,96,0
Cross,1,38,Control,96,0
Cross,1,39,Control,24,1
Cross,1,39,Control,96,0
Cross,1,39,Control,96,0
Cross,1,39,Control,96,0
Cross,1,39,Control,96,0
Cross,1,39,Control,96,0
Cross,1,39,Control,96,0
Cross,1,39,Control,96,0
Cross,1,39,Control,96,0
Cross,1,39,Control,96,0
Cross,1,40,Control,24,1
Cross,1,40,Control,24,1
Cross,1,40,Control,96,1
Cross,1,40,Control,96,0
Cross,1,40,Control,96,0
Cross,1,40,Control,96,0
Cross,1,40,Control,96,0
Cross,1,40,Control,96,0
Cross,1,40,Control,96,0
Cross,1,40,Control,96,0
Cross,1,41,Control,48,1
Cross,1,41,Control,96,0
Cross,1,41,Control,96,0
Cross,1,41,Control,96,0
Cross,1,41,Control,96,0
