gene,logP
isogroupOFAVBQ_DN150550_c0_g1,6.02458589747626
isogroupOFAVBQ_DN151061_c0_g2,NA
isogroupOFAVBQ_DN151282_c0_g1,NA
isogroupOFAVBQ_DN151360_c0_g2,NA
isogroupOFAVBQ_DN151389_c0_g1,NA
isogroupOFAVBQ_DN151397_c0_g1,NA
isogroupOFAVBQ_DN151458_c0_g1,NA
isogroupOFAVBQ_DN151920_c0_g1,NA
isogroupOFAVBQ_DN151945_c0_g1,-0.528711555462951
isogroupOFAVBQ_DN151990_c0_g1,NA
isogroupOFAVBQ_DN152165_c0_g1,NA
isogroupOFAVBQ_DN152397_c0_g1,NA
isogroupOFAVBQ_DN152479_c0_g1,NA
isogroupOFAVBQ_DN152504_c0_g1,-0.615247996350016
isogroupOFAVBQ_DN152696_c0_g1,NA
isogroupOFAVBQ_DN152750_c0_g1,NA
isogroupOFAVBQ_DN152750_c1_g1,NA
isogroupOFAVBQ_DN152838_c0_g1,NA
isogroupOFAVBQ_DN153003_c0_g2,NA
isogroupOFAVBQ_DN153117_c0_g2,-0.385109226680245
isogroupOFAVBQ_DN153154_c0_g1,NA
isogroupOFAVBQ_DN153279_c0_g1,NA
isogroupOFAVBQ_DN153789_c0_g1,NA
isogroupOFAVBQ_DN153793_c0_g1,NA
isogroupOFAVBQ_DN153904_c0_g1,NA
isogroupOFAVBQ_DN153958_c0_g1,NA
isogroupOFAVBQ_DN153959_c0_g1,-6.76307955959378
isogroupOFAVBQ_DN153981_c0_g1,0.698914588393339
isogroupOFAVBQ_DN153998_c0_g1,NA
isogroupOFAVBQ_DN154023_c2_g1,NA
isogroupOFAVBQ_DN154099_c0_g1,-0.782414172125827
isogroupOFAVBQ_DN154217_c1_g1,NA
isogroupOFAVBQ_DN154223_c0_g1,-1.69771393165267
isogroupOFAVBQ_DN154228_c0_g2,NA
isogroupOFAVBQ_DN154254_c1_g1,NA
isogroupOFAVBQ_DN154380_c0_g1,NA
isogroupOFAVBQ_DN154397_c0_g1,NA
isogroupOFAVBQ_DN154478_c0_g1,0.428907751475823
isogroupOFAVBQ_DN154528_c0_g1,NA
isogroupOFAVBQ_DN154534_c0_g1,NA
isogroupOFAVBQ_DN154544_c0_g1,0.280177580753971
isogroupOFAVBQ_DN154576_c0_g1,0.473120261900021
isogroupOFAVBQ_DN154637_c0_g1,NA
isogroupOFAVBQ_DN154676_c0_g1,NA
isogroupOFAVBQ_DN154710_c0_g1,NA
isogroupOFAVBQ_DN154822_c0_g1,NA
isogroupOFAVBQ_DN154908_c0_g1,-0.255722056076956
isogroupOFAVBQ_DN155095_c0_g1,NA
isogroupOFAVBQ_DN155186_c0_g1,NA
isogroupOFAVBQ_DN155283_c0_g1,NA
isogroupOFAVBQ_DN155431_c0_g4,NA
isogroupOFAVBQ_DN155448_c0_g1,NA
isogroupOFAVBQ_DN155535_c0_g1,NA
isogroupOFAVBQ_DN155559_c0_g1,NA
isogroupOFAVBQ_DN155733_c0_g1,NA
isogroupOFAVBQ_DN155736_c0_g1,-0.00466561131128354
isogroupOFAVBQ_DN155815_c1_g2,NA
isogroupOFAVBQ_DN155910_c0_g1,NA
isogroupOFAVBQ_DN155924_c0_g1,NA
isogroupOFAVBQ_DN155928_c0_g2,-0.224584455396875
isogroupOFAVBQ_DN156015_c0_g1,NA
isogroupOFAVBQ_DN156018_c0_g1,NA
isogroupOFAVBQ_DN156171_c0_g1,NA
isogroupOFAVBQ_DN156209_c0_g1,NA
isogroupOFAVBQ_DN15625_c0_g1,NA
isogroupOFAVBQ_DN156279_c0_g1,NA
isogroupOFAVBQ_DN156428_c0_g1,NA
isogroupOFAVBQ_DN156462_c0_g1,0.00569969901549049
isogroupOFAVBQ_DN156583_c0_g1,NA
isogroupOFAVBQ_DN156679_c0_g1,0.037162837957439
isogroupOFAVBQ_DN156726_c0_g1,-0.165726665567879
isogroupOFAVBQ_DN156764_c0_g1,NA
isogroupOFAVBQ_DN156793_c0_g1,0.502029198814352
isogroupOFAVBQ_DN156806_c0_g1,0.17823354401149
isogroupOFAVBQ_DN156847_c0_g1,NA
isogroupOFAVBQ_DN156998_c0_g2,NA
isogroupOFAVBQ_DN157052_c0_g1,NA
isogroupOFAVBQ_DN157054_c0_g2,NA
isogroupOFAVBQ_DN157089_c0_g1,NA
isogroupOFAVBQ_DN157094_c0_g1,NA
isogroupOFAVBQ_DN157192_c0_g1,NA
isogroupOFAVBQ_DN157262_c0_g1,NA
isogroupOFAVBQ_DN157266_c0_g1,NA
isogroupOFAVBQ_DN157314_c0_g1,0.35298314009045
isogroupOFAVBQ_DN157364_c0_g3,-0.904651845330064
isogroupOFAVBQ_DN15736_c0_g1,NA
isogroupOFAVBQ_DN157435_c0_g1,-0.514369134781879
isogroupOFAVBQ_DN157519_c0_g1,NA
isogroupOFAVBQ_DN157767_c1_g1,NA
isogroupOFAVBQ_DN157853_c0_g1,NA
isogroupOFAVBQ_DN158003_c0_g1,NA
isogroupOFAVBQ_DN158070_c0_g3,NA
isogroupOFAVBQ_DN158264_c0_g1,NA
isogroupOFAVBQ_DN158341_c1_g1,-0.375290195307948
isogroupOFAVBQ_DN158423_c0_g1,NA
isogroupOFAVBQ_DN158565_c0_g1,NA
isogroupOFAVBQ_DN158671_c0_g1,NA
isogroupOFAVBQ_DN158731_c0_g1,-0.274398451460611
isogroupOFAVBQ_DN158908_c0_g1,NA
isogroupOFAVBQ_DN158976_c0_g1,NA
isogroupOFAVBQ_DN159003_c0_g1,NA
isogroupOFAVBQ_DN159145_c0_g1,NA
isogroupOFAVBQ_DN159191_c0_g1,0.82430594125849
isogroupOFAVBQ_DN159252_c0_g1,NA
isogroupOFAVBQ_DN159421_c0_g1,NA
isogroupOFAVBQ_DN159675_c0_g1,-9.99903038873039
isogroupOFAVBQ_DN159974_c0_g1,NA
isogroupOFAVBQ_DN160013_c0_g1,NA
isogroupOFAVBQ_DN160132_c0_g1,NA
isogroupOFAVBQ_DN160211_c0_g1,NA
isogroupOFAVBQ_DN160242_c0_g1,NA
isogroupOFAVBQ_DN160250_c0_g1,NA
isogroupOFAVBQ_DN160380_c0_g1,NA
isogroupOFAVBQ_DN160608_c0_g1,-0.264402637243515
isogroupOFAVBQ_DN160690_c0_g1,NA
isogroupOFAVBQ_DN160765_c0_g1,0.053005676650071
isogroupOFAVBQ_DN160855_c0_g2,NA
isogroupOFAVBQ_DN160870_c0_g1,0.0457303470630878
isogroupOFAVBQ_DN160965_c0_g2,NA
isogroupOFAVBQ_DN161073_c1_g1,NA
isogroupOFAVBQ_DN161177_c0_g1,NA
isogroupOFAVBQ_DN161244_c0_g1,NA
isogroupOFAVBQ_DN161261_c0_g2,NA
isogroupOFAVBQ_DN161333_c0_g1,0.120150491445851
isogroupOFAVBQ_DN161618_c0_g1,-2.09484750845116
isogroupOFAVBQ_DN161744_c0_g1,NA
isogroupOFAVBQ_DN161988_c0_g1,NA
isogroupOFAVBQ_DN162036_c0_g2,NA
isogroupOFAVBQ_DN162103_c0_g1,NA
isogroupOFAVBQ_DN162129_c0_g1,NA
isogroupOFAVBQ_DN162248_c0_g1,NA
isogroupOFAVBQ_DN162444_c0_g1,NA
isogroupOFAVBQ_DN162692_c0_g1,-0.0791456569899812
isogroupOFAVBQ_DN162722_c0_g1,NA
isogroupOFAVBQ_DN162816_c0_g1,0.493579950916859
isogroupOFAVBQ_DN162879_c0_g1,NA
isogroupOFAVBQ_DN163073_c0_g3,NA
isogroupOFAVBQ_DN163240_c3_g1,NA
isogroupOFAVBQ_DN163320_c0_g1,NA
isogroupOFAVBQ_DN163722_c0_g1,NA
