gene,logP
isogroupOFAVBQ_DN140676_c0_g1,0.115167801043955
isogroupOFAVBQ_DN140833_c0_g1,0.32486798480242
isogroupOFAVBQ_DN140871_c0_g1,0.309823652395953
isogroupOFAVBQ_DN140928_c1_g1,1.13898398577062
isogroupOFAVBQ_DN141057_c0_g2,NA
isogroupOFAVBQ_DN141333_c0_g2,NA
isogroupOFAVBQ_DN14145_c0_g1,NA
isogroupOFAVBQ_DN141904_c0_g1,0.884097642784374
isogroupOFAVBQ_DN14202_c0_g1,0.0809008500530949
isogroupOFAVBQ_DN142099_c2_g1,0.250564195601692
isogroupOFAVBQ_DN142130_c0_g1,-0.0928783049231098
isogroupOFAVBQ_DN142675_c0_g2,NA
isogroupOFAVBQ_DN142840_c0_g3,-0.121530886778591
isogroupOFAVBQ_DN143204_c0_g1,NA
isogroupOFAVBQ_DN143454_c0_g4,NA
isogroupOFAVBQ_DN143475_c0_g4,NA
isogroupOFAVBQ_DN143485_c0_g2,NA
isogroupOFAVBQ_DN143732_c0_g2,NA
isogroupOFAVBQ_DN143756_c0_g1,0.123953517127531
isogroupOFAVBQ_DN144592_c0_g1,-0.0144732152291788
isogroupOFAVBQ_DN144600_c0_g1,-0.11167779685476
isogroupOFAVBQ_DN144624_c0_g1,NA
isogroupOFAVBQ_DN145019_c0_g1,0.102970033960415
isogroupOFAVBQ_DN145146_c0_g3,NA
isogroupOFAVBQ_DN145303_c0_g1,NA
isogroupOFAVBQ_DN145735_c0_g1,NA
isogroupOFAVBQ_DN145824_c0_g1,-1.00026798350714
isogroupOFAVBQ_DN146049_c0_g1,NA
isogroupOFAVBQ_DN146246_c0_g1,0.0630942219081153
isogroupOFAVBQ_DN146334_c0_g3,NA
isogroupOFAVBQ_DN146560_c0_g2,0.0382530217493765
isogroupOFAVBQ_DN14657_c0_g1,NA
isogroupOFAVBQ_DN146757_c0_g1,NA
isogroupOFAVBQ_DN146757_c0_g2,NA
isogroupOFAVBQ_DN146870_c0_g1,NA
isogroupOFAVBQ_DN147093_c0_g1,NA
isogroupOFAVBQ_DN147240_c0_g2,0.0102503046700609
isogroupOFAVBQ_DN147350_c1_g1,0.165389448689131
isogroupOFAVBQ_DN147597_c0_g1,-0.138202838801361
isogroupOFAVBQ_DN147685_c0_g1,NA
isogroupOFAVBQ_DN147999_c0_g1,NA
isogroupOFAVBQ_DN14920_c0_g1,NA
isogroupOFAVBQ_DN149222_c0_g3,NA
isogroupOFAVBQ_DN149286_c0_g1,-0.203200860710389
isogroupOFAVBQ_DN149494_c0_g1,NA
isogroupOFAVBQ_DN149845_c0_g1,-0.0690593015247816
isogroupOFAVBQ_DN149993_c0_g1,-0.00181556028962917
isogroupOFAVBQ_DN150333_c0_g1,NA
isogroupOFAVBQ_DN150430_c0_g1,NA
isogroupOFAVBQ_DN150550_c0_g1,0.0717890852581515
isogroupOFAVBQ_DN150687_c1_g1,NA
isogroupOFAVBQ_DN150921_c0_g1,NA
isogroupOFAVBQ_DN151061_c0_g2,NA
isogroupOFAVBQ_DN151360_c0_g2,NA
isogroupOFAVBQ_DN151389_c0_g1,NA
isogroupOFAVBQ_DN151458_c0_g1,0.136758338793608
isogroupOFAVBQ_DN151920_c0_g1,0.112576652276805
isogroupOFAVBQ_DN151945_c0_g1,-0.447808308734571
isogroupOFAVBQ_DN151990_c0_g1,NA
isogroupOFAVBQ_DN152165_c0_g1,NA
isogroupOFAVBQ_DN152397_c0_g1,NA
isogroupOFAVBQ_DN152479_c0_g1,NA
isogroupOFAVBQ_DN152504_c0_g1,0.0274368145013811
isogroupOFAVBQ_DN152696_c0_g1,NA
isogroupOFAVBQ_DN152750_c0_g1,NA
isogroupOFAVBQ_DN152750_c1_g1,0.0828597372277909
isogroupOFAVBQ_DN152761_c0_g1,NA
isogroupOFAVBQ_DN152820_c0_g1,NA
isogroupOFAVBQ_DN152953_c0_g1,NA
isogroupOFAVBQ_DN153003_c0_g2,NA
isogroupOFAVBQ_DN153004_c0_g1,NA
isogroupOFAVBQ_DN153109_c0_g1,NA
isogroupOFAVBQ_DN153154_c0_g1,NA
isogroupOFAVBQ_DN153279_c0_g1,NA
isogroupOFAVBQ_DN153359_c0_g1,NA
isogroupOFAVBQ_DN153847_c0_g1,NA
isogroupOFAVBQ_DN153904_c0_g1,0.0350790018521608
isogroupOFAVBQ_DN153958_c0_g1,0.0547923582764376
