gene,logP
isogroupOFAVBQ_DN145146_c0_g3,NA
isogroupOFAVBQ_DN145303_c0_g1,NA
isogroupOFAVBQ_DN145735_c0_g1,NA
isogroupOFAVBQ_DN145824_c0_g1,NA
isogroupOFAVBQ_DN146049_c0_g1,NA
isogroupOFAVBQ_DN146246_c0_g1,NA
isogroupOFAVBQ_DN146334_c0_g3,NA
isogroupOFAVBQ_DN146560_c0_g2,NA
isogroupOFAVBQ_DN14657_c0_g1,NA
isogroupOFAVBQ_DN146757_c0_g1,NA
isogroupOFAVBQ_DN146757_c0_g2,NA
isogroupOFAVBQ_DN146870_c0_g1,NA
isogroupOFAVBQ_DN147093_c0_g1,NA
isogroupOFAVBQ_DN147240_c0_g2,NA
isogroupOFAVBQ_DN147350_c1_g1,NA
isogroupOFAVBQ_DN147597_c0_g1,NA
isogroupOFAVBQ_DN147685_c0_g1,NA
isogroupOFAVBQ_DN147999_c0_g1,NA
isogroupOFAVBQ_DN14920_c0_g1,NA
isogroupOFAVBQ_DN149222_c0_g3,NA
isogroupOFAVBQ_DN149286_c0_g1,-0.00893192401995432
isogroupOFAVBQ_DN149494_c0_g1,NA
isogroupOFAVBQ_DN149845_c0_g1,NA
isogroupOFAVBQ_DN149993_c0_g1,0.0168498677078519
isogroupOFAVBQ_DN150333_c0_g1,NA
isogroupOFAVBQ_DN150430_c0_g1,NA
isogroupOFAVBQ_DN150550_c0_g1,NA
isogroupOFAVBQ_DN150687_c1_g1,NA
isogroupOFAVBQ_DN150921_c0_g1,NA
isogroupOFAVBQ_DN151061_c0_g2,NA
isogroupOFAVBQ_DN151360_c0_g2,NA
isogroupOFAVBQ_DN151389_c0_g1,NA
isogroupOFAVBQ_DN151458_c0_g1,NA
isogroupOFAVBQ_DN151920_c0_g1,NA
isogroupOFAVBQ_DN151945_c0_g1,0.154964345980635
isogroupOFAVBQ_DN151990_c0_g1,NA
isogroupOFAVBQ_DN152165_c0_g1,NA
isogroupOFAVBQ_DN152397_c0_g1,NA
isogroupOFAVBQ_DN152479_c0_g1,NA
isogroupOFAVBQ_DN152504_c0_g1,NA
isogroupOFAVBQ_DN152696_c0_g1,NA
isogroupOFAVBQ_DN152750_c0_g1,NA
isogroupOFAVBQ_DN152750_c1_g1,NA
isogroupOFAVBQ_DN152761_c0_g1,NA
isogroupOFAVBQ_DN152820_c0_g1,NA
isogroupOFAVBQ_DN152953_c0_g1,NA
isogroupOFAVBQ_DN153003_c0_g2,NA
isogroupOFAVBQ_DN153004_c0_g1,NA
isogroupOFAVBQ_DN153109_c0_g1,NA
isogroupOFAVBQ_DN153154_c0_g1,NA
isogroupOFAVBQ_DN153279_c0_g1,NA
isogroupOFAVBQ_DN153359_c0_g1,NA
isogroupOFAVBQ_DN153847_c0_g1,NA
isogroupOFAVBQ_DN153904_c0_g1,NA
isogroupOFAVBQ_DN153958_c0_g1,NA
isogroupOFAVBQ_DN153959_c0_g1,-0.146060598464971
isogroupOFAVBQ_DN153981_c0_g1,NA
isogroupOFAVBQ_DN153998_c0_g1,NA
isogroupOFAVBQ_DN154099_c0_g1,0.28636021339245
isogroupOFAVBQ_DN154223_c0_g1,-0.107699655895047
isogroupOFAVBQ_DN154228_c0_g2,NA
isogroupOFAVBQ_DN154254_c1_g1,NA
isogroupOFAVBQ_DN154380_c0_g1,NA
isogroupOFAVBQ_DN154528_c0_g1,NA
isogroupOFAVBQ_DN154528_c0_g2,NA
isogroupOFAVBQ_DN154534_c0_g1,NA
isogroupOFAVBQ_DN154544_c0_g1,-0.881344548782668
isogroupOFAVBQ_DN154576_c0_g1,NA
isogroupOFAVBQ_DN154676_c0_g1,NA
isogroupOFAVBQ_DN154710_c0_g1,NA
isogroupOFAVBQ_DN154770_c0_g1,NA
isogroupOFAVBQ_DN154822_c0_g1,NA
isogroupOFAVBQ_DN154848_c0_g1,NA
isogroupOFAVBQ_DN154908_c0_g1,NA
isogroupOFAVBQ_DN155186_c0_g1,NA
isogroupOFAVBQ_DN155273_c0_g1,NA
isogroupOFAVBQ_DN155283_c0_g1,NA
isogroupOFAVBQ_DN155448_c0_g1,NA
isogroupOFAVBQ_DN155733_c0_g1,NA
isogroupOFAVBQ_DN155736_c0_g1,1.36085176090537
isogroupOFAVBQ_DN155898_c0_g1,NA
isogroupOFAVBQ_DN155910_c0_g1,NA
isogroupOFAVBQ_DN155928_c0_g2,0.0013341222737765
isogroupOFAVBQ_DN156018_c0_g1,NA
isogroupOFAVBQ_DN156113_c0_g1,NA
isogroupOFAVBQ_DN156171_c0_g1,NA
isogroupOFAVBQ_DN156279_c0_g1,1.03039178991676
isogroupOFAVBQ_DN156428_c0_g1,NA
isogroupOFAVBQ_DN156462_c0_g1,NA
isogroupOFAVBQ_DN156583_c0_g1,NA
isogroupOFAVBQ_DN156636_c0_g1,NA
isogroupOFAVBQ_DN156679_c0_g1,NA
isogroupOFAVBQ_DN156726_c0_g1,NA
isogroupOFAVBQ_DN156764_c0_g1,NA
isogroupOFAVBQ_DN156793_c0_g1,-0.0693694949774798
isogroupOFAVBQ_DN156847_c0_g1,NA
isogroupOFAVBQ_DN157052_c0_g1,NA
isogroupOFAVBQ_DN157061_c0_g1,NA
isogroupOFAVBQ_DN157089_c0_g1,NA
isogroupOFAVBQ_DN157248_c0_g1,NA
isogroupOFAVBQ_DN157262_c0_g1,NA
isogroupOFAVBQ_DN157314_c0_g1,0.208253264766875
isogroupOFAVBQ_DN157364_c0_g3,NA
isogroupOFAVBQ_DN157435_c0_g1,NA
isogroupOFAVBQ_DN157519_c0_g1,NA
isogroupOFAVBQ_DN157589_c0_g1,NA
isogroupOFAVBQ_DN157853_c0_g1,NA
isogroupOFAVBQ_DN158003_c0_g1,NA
isogroupOFAVBQ_DN158070_c0_g3,NA
isogroupOFAVBQ_DN158240_c0_g5,NA
isogroupOFAVBQ_DN158341_c1_g1,NA
isogroupOFAVBQ_DN158418_c0_g3,NA
isogroupOFAVBQ_DN158423_c0_g1,NA
isogroupOFAVBQ_DN158442_c0_g3,NA
isogroupOFAVBQ_DN158495_c0_g1,NA
isogroupOFAVBQ_DN158555_c0_g1,NA
isogroupOFAVBQ_DN158555_c0_g2,-0.573910013618972
isogroupOFAVBQ_DN158565_c0_g1,NA
isogroupOFAVBQ_DN158677_c0_g1,NA
isogroupOFAVBQ_DN158753_c0_g2,NA
isogroupOFAVBQ_DN158908_c0_g1,NA
isogroupOFAVBQ_DN158976_c0_g1,NA
isogroupOFAVBQ_DN159003_c0_g1,NA
isogroupOFAVBQ_DN159252_c0_g1,NA
isogroupOFAVBQ_DN159421_c0_g1,NA
isogroupOFAVBQ_DN159675_c0_g1,-0.0474297664527661
isogroupOFAVBQ_DN159974_c0_g1,NA
isogroupOFAVBQ_DN160013_c0_g1,NA
