ProbeID,modules2019
isogroupOFAVBQ_DN137595_c0_g1,0
isogroupOFAVBQ_DN137614_c0_g1,0
isogroupOFAVBQ_DN137614_c0_g2,0
isogroupOFAVBQ_DN137704_c0_g1,0
isogroupOFAVBQ_DN13788_c0_g1,0
isogroupOFAVBQ_DN137932_c0_g1,0
isogroupOFAVBQ_DN138007_c0_g1,0
isogroupOFAVBQ_DN138175_c0_g1,0
isogroupOFAVBQ_DN138229_c0_g1,0
isogroupOFAVBQ_DN138290_c0_g1,0
isogroupOFAVBQ_DN138765_c0_g1,0
isogroupOFAVBQ_DN139054_c0_g1,0
isogroupOFAVBQ_DN139120_c0_g1,0
isogroupOFAVBQ_DN139120_c1_g1,0
isogroupOFAVBQ_DN139377_c0_g1,0
isogroupOFAVBQ_DN139704_c0_g1,0
isogroupOFAVBQ_DN139808_c0_g1,0
isogroupOFAVBQ_DN13982_c0_g1,0
isogroupOFAVBQ_DN139898_c0_g1,0
isogroupOFAVBQ_DN140434_c0_g1,0
isogroupOFAVBQ_DN140676_c0_g1,0
isogroupOFAVBQ_DN140833_c0_g1,0
isogroupOFAVBQ_DN140871_c0_g1,0
isogroupOFAVBQ_DN140928_c1_g1,0
isogroupOFAVBQ_DN141057_c0_g2,0
isogroupOFAVBQ_DN141333_c0_g2,0
isogroupOFAVBQ_DN141437_c0_g1,0
isogroupOFAVBQ_DN14145_c0_g1,0
isogroupOFAVBQ_DN141904_c0_g1,0
isogroupOFAVBQ_DN14202_c0_g1,0
isogroupOFAVBQ_DN142039_c0_g1,0
isogroupOFAVBQ_DN142099_c2_g1,1
isogroupOFAVBQ_DN142703_c0_g2,0
isogroupOFAVBQ_DN142840_c0_g3,1
isogroupOFAVBQ_DN143204_c0_g1,0
isogroupOFAVBQ_DN143454_c0_g4,0
isogroupOFAVBQ_DN143475_c0_g4,0
isogroupOFAVBQ_DN143590_c0_g2,0
isogroupOFAVBQ_DN14372_c0_g1,0
isogroupOFAVBQ_DN143732_c0_g2,0
isogroupOFAVBQ_DN143756_c0_g1,0
isogroupOFAVBQ_DN144592_c0_g1,0
isogroupOFAVBQ_DN144600_c0_g1,0
isogroupOFAVBQ_DN144624_c0_g1,0
isogroupOFAVBQ_DN145019_c0_g1,0
isogroupOFAVBQ_DN145146_c0_g3,0
isogroupOFAVBQ_DN145303_c0_g1,0
isogroupOFAVBQ_DN145735_c0_g1,0
isogroupOFAVBQ_DN145824_c0_g1,0
isogroupOFAVBQ_DN146049_c0_g1,0
isogroupOFAVBQ_DN146246_c0_g1,0
isogroupOFAVBQ_DN146529_c0_g1,0
isogroupOFAVBQ_DN146560_c0_g2,0
isogroupOFAVBQ_DN14657_c0_g1,0
isogroupOFAVBQ_DN146757_c0_g2,0
isogroupOFAVBQ_DN146870_c0_g1,0
isogroupOFAVBQ_DN147093_c0_g1,0
isogroupOFAVBQ_DN147240_c0_g2,0
isogroupOFAVBQ_DN147350_c1_g1,0
isogroupOFAVBQ_DN147597_c0_g1,0
isogroupOFAVBQ_DN147685_c0_g1,0
isogroupOFAVBQ_DN147999_c0_g1,0
isogroupOFAVBQ_DN14920_c0_g1,0
isogroupOFAVBQ_DN149222_c0_g3,0
isogroupOFAVBQ_DN149286_c0_g1,0
isogroupOFAVBQ_DN149494_c0_g1,0
isogroupOFAVBQ_DN149845_c0_g1,0
isogroupOFAVBQ_DN149993_c0_g1,0
isogroupOFAVBQ_DN150191_c0_g1,0
isogroupOFAVBQ_DN150333_c0_g1,0
isogroupOFAVBQ_DN150430_c0_g1,0
isogroupOFAVBQ_DN150550_c0_g1,0
isogroupOFAVBQ_DN151061_c0_g2,0
isogroupOFAVBQ_DN151282_c0_g1,0
isogroupOFAVBQ_DN151360_c0_g2,0
isogroupOFAVBQ_DN151389_c0_g1,0
isogroupOFAVBQ_DN151397_c0_g1,0
isogroupOFAVBQ_DN151458_c0_g1,0
isogroupOFAVBQ_DN151920_c0_g1,0
isogroupOFAVBQ_DN151945_c0_g1,0
isogroupOFAVBQ_DN151990_c0_g1,0
isogroupOFAVBQ_DN152165_c0_g1,0
isogroupOFAVBQ_DN152397_c0_g1,0
isogroupOFAVBQ_DN152479_c0_g1,0
isogroupOFAVBQ_DN152504_c0_g1,0
isogroupOFAVBQ_DN152696_c0_g1,0
isogroupOFAVBQ_DN152750_c0_g1,0
isogroupOFAVBQ_DN152750_c1_g1,1
isogroupOFAVBQ_DN152761_c0_g1,0
isogroupOFAVBQ_DN152838_c0_g1,0
isogroupOFAVBQ_DN153003_c0_g2,0
isogroupOFAVBQ_DN153109_c0_g1,0
isogroupOFAVBQ_DN153117_c0_g2,0
isogroupOFAVBQ_DN153154_c0_g1,0
isogroupOFAVBQ_DN153279_c0_g1,0
isogroupOFAVBQ_DN153359_c0_g1,0
isogroupOFAVBQ_DN153847_c0_g1,0
isogroupOFAVBQ_DN153904_c0_g1,0
isogroupOFAVBQ_DN153958_c0_g1,0
isogroupOFAVBQ_DN153959_c0_g1,0
isogroupOFAVBQ_DN153981_c0_g1,0
isogroupOFAVBQ_DN153998_c0_g1,0
isogroupOFAVBQ_DN154099_c0_g1,0
isogroupOFAVBQ_DN154223_c0_g1,0
isogroupOFAVBQ_DN154228_c0_g2,0
isogroupOFAVBQ_DN154254_c1_g1,0
isogroupOFAVBQ_DN154380_c0_g1,0
isogroupOFAVBQ_DN154478_c0_g1,0
isogroupOFAVBQ_DN154528_c0_g1,0
isogroupOFAVBQ_DN154528_c0_g2,0
isogroupOFAVBQ_DN154534_c0_g1,0
isogroupOFAVBQ_DN154544_c0_g1,0
isogroupOFAVBQ_DN154576_c0_g1,0
isogroupOFAVBQ_DN154676_c0_g1,0
isogroupOFAVBQ_DN154710_c0_g1,0
isogroupOFAVBQ_DN154770_c0_g1,0
isogroupOFAVBQ_DN154822_c0_g1,0
